dataID,precinct,jeff_ballinger,alexandra_chandler,beej_das,rufus_gifford,leonard_golder,dan_koh,barbara_litalien,bopha_malone,juana_matias,lori_trahan,total_reported,total_counted
0,Acton 01,6,52,21,114,5,109,108,5,25,71,516,516
1,Acton 02,9,50,21,167,3,135,111,1,37,113,647,647
2,Acton 03,14,103,9,158,5,109,191,1,60,100,750,750
3,Acton 04,2,121,13,152,2,145,174,3,32,93,737,737
4,Acton 05,4,92,15,197,6,84,112,8,53,109,680,680
5,Acton 06,3,73,12,134,1,91,105,7,28,97,551,551
6,Andover 02,7,10,7,33,1,334,154,1,44,56,647,647
7,Andover 03,13,6,12,42,3,301,228,2,36,68,711,711
8,Andover 04,7,13,10,34,1,229,167,2,15,65,543,543
9,Andover 05,9,10,18,25,0,237,194,2,18,73,586,586
10,Andover 06,15,8,11,33,0,249,125,0,19,73,533,533
11,Andover 07,11,6,6,15,0,243,129,2,15,51,478,478
12,Andover 09,7,11,10,24,1,254,158,0,16,74,555,555
13,Ashburnham 01,13,23,6,157,7,170,78,4,22,84,564,564
14,Ashby 01,7,27,2,61,4,60,55,4,43,47,310,310
15,Ayer 01,8,40,7,51,2,81,86,10,29,108,422,422
16,Ayer 02,8,25,7,53,1,80,58,9,24,111,376,376
17,Berlin 01,5,35,0,119,7,75,76,1,35,69,422,422
18,Bolton 01,3,74,5,81,19,213,165,1,34,125,720,720
19,Boxborough 01,8,116,11,144,10,172,163,2,54,126,806,806
20,Carlisle 01,7,73,18,319,3,223,195,24,58,200,1120,1120
21,Chelmsford 01,1,17,11,102,2,81,69,5,21,238,547,547
22,Chelmsford 02,4,21,13,43,2,83,55,9,13,162,405,405
23,Chelmsford 03,9,28,10,62,5,92,74,19,23,226,548,548
24,Chelmsford 04,6,19,7,74,1,80,35,5,15,187,429,429
25,Chelmsford 05,4,23,5,82,1,79,66,7,22,160,449,449
26,Chelmsford 06,6,14,10,97,3,123,49,9,17,235,563,563
27,Chelmsford 07,5,15,13,115,0,101,69,6,25,287,636,636
28,Chelmsford 08,6,25,16,77,2,119,64,10,22,245,586,586
29,Chelmsford 09,2,29,10,82,2,110,89,3,15,222,564,564
30,Clinton 01,5,9,9,64,8,103,85,0,18,62,363,363
31,Clinton 02,3,14,1,43,7,115,76,1,38,25,323,323
32,Clinton 03,7,22,4,38,3,113,68,2,14,40,311,311
33,Clinton 04,4,12,2,29,7,94,59,1,27,38,273,273
34,Concord 01,3,37,5,298,4,148,192,4,94,121,906,906
35,Concord 02,5,65,6,288,2,159,238,18,124,177,1082,1082
36,Concord 03,4,43,3,353,0,168,194,3,78,167,1013,1013
37,Concord 04,4,41,4,366,4,139,251,12,95,159,1075,1075
38,Concord 05,1,33,2,255,1,81,128,2,36,88,627,627
